workbook_sheet,class_order_seed,method,dataset,workbook_cells,workbook_A_L,workbook_A_avg,expected_log_filename,protocol,candidate_log_paths,log_A_L,log_A_avg,log_status,workbook_log_comparison
seed1994,1994,DualPrompt,ImageNet-R,G7:H7,66.88,72.15,imagenetr/imagenet_r|0_40_1994.log,T=5; B0/Inc40 (filename _0_40_1994),logs/第二轮A800/DualPrompt/imagenetr_vit_base_patch16_224_in21k_dualprompt_0_40_1994.log,66.88,72.15,Complete,Match
seed1994,1994,DualPrompt,OmniBenchmark,I7:J7,68.72,78.19,omnibenchmark|0_30_1994.log,T=10; B0/Inc30 (filename _0_30_1994),logs/第二轮A800/DualPrompt/omnibenchmark_vit_base_patch16_224_in21k_dualprompt_0_30_1994.log,68.72,78.19,Complete,Match
seed1994,1994,DualPrompt,VTAB,K7:L7,78.97,85.38,vtab|0_10_1994.log,T=5; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/DualPrompt/vtab_vit_base_patch16_224_in21k_dualprompt_0_10_1994.log,78.97,85.38,Complete,Match
seed1994,1994,CODA-Prompt,CIFAR100,C8:D8,87.68,91.72,cifar224|0_10_1994.log,T=10; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/CODA-Prompt/cifar224_vit_base_patch16_224_in21k_coda_prompt_0_10_1994.log,87.68,91.72,Complete,Match
seed1994,1994,CODA-Prompt,CUB200,E8:F8,73.32,81.92,cub|0_20_1994.log,T=10; B0/Inc20 (filename _0_20_1994),logs/第二轮A800/CODA-Prompt/cub_vit_base_patch16_224_in21k_coda_prompt_0_20_1994.log,73.32,81.92,Complete,Match
seed1994,1994,CODA-Prompt,ImageNet-R,G8:H8,75.7,80.11,imagenetr/imagenet_r|0_40_1994.log,T=5; B0/Inc40 (filename _0_40_1994),logs/第二轮A800/CODA-Prompt/imagenetr_vit_base_patch16_224_in21k_coda_prompt_0_40_1994.log,75.7,80.11,Complete,Match
seed1994,1994,CODA-Prompt,OmniBenchmark,I8:J8,70.01,78.52,omnibenchmark|0_30_1994.log,T=10; B0/Inc30 (filename _0_30_1994),logs/第二轮A800/CODA-Prompt/omnibenchmark_vit_base_patch16_224_in21k_coda_prompt_0_30_1994.log,70.01,78.52,Complete,Match
seed1994,1994,CODA-Prompt,VTAB,K8:L8,72.19,80.11,vtab|0_10_1994.log,T=5; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/CODA-Prompt/vtab_vit_base_patch16_224_in21k_coda_prompt_0_10_1994.log,72.19,80.11,Complete,Match
seed1994,1994,LAE,CIFAR100,C9:D9,85.56,90.16,cifar224|0_10_1994.log,T=10; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/LAE/cifar224_vit_base_patch16_224_in21k_lae_0_10_1994.log,85.56,90.16,Complete,Match
seed1994,1994,LAE,CUB200,E9:F9,67.47,78.44,cub|0_20_1994.log,T=10; B0/Inc20 (filename _0_20_1994),logs/第二轮A800/LAE/cub_vit_base_patch16_224_in21k_lae_0_20_1994.log,67.47,78.44,Complete,Match
seed1994,1994,LAE,ImageNet-R,G9:H9,,,imagenetr/imagenet_r|0_40_1994.log,T=5; B0/Inc40 (filename _0_40_1994),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1994,1994,LAE,OmniBenchmark,I9:J9,67.28,77.36,omnibenchmark|0_30_1994.log,T=10; B0/Inc30 (filename _0_30_1994),logs/第二轮A800/LAE/omnibenchmark_vit_base_patch16_224_in21k_lae_0_30_1994.log,67.28,77.36,Complete,Match
seed1994,1994,LAE,VTAB,K9:L9,67.8,79.82,vtab|0_10_1994.log,T=5; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/LAE/vtab_vit_base_patch16_224_in21k_lae_0_10_1994.log,67.8,79.82,Complete,Match
seed1994,1994,InfLoRA,CIFAR100,C10:D10,86.18,91.58,cifar224|0_10_1994.log,T=10; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/InfLoRA/cifar224_vit_base_patch16_224_in21k_inflora_0_10_1994.log,86.18,91.58,Complete,Match
seed1994,1994,InfLoRA,CUB200,E10:F10,58.23,72.14,cub|0_20_1994.log,T=10; B0/Inc20 (filename _0_20_1994),logs/第二轮A800/InfLoRA/cub_vit_base_patch16_224_in21k_inflora_0_20_1994.log,58.23,72.14,Complete,Match
seed1994,1994,InfLoRA,ImageNet-R,G10:H10,77.77,82.78,imagenetr/imagenet_r|0_40_1994.log,T=5; B0/Inc40 (filename _0_40_1994),logs/第二轮A800/InfLoRA/ImageNet_R_vit_base_patch16_224_in21k_inflora_0_40_1994.log,77.77,82.78,Complete,Match
seed1994,1994,InfLoRA,OmniBenchmark,I10:J10,69.06,79.54,omnibenchmark|0_30_1994.log,T=10; B0/Inc30 (filename _0_30_1994),logs/第二轮A800/InfLoRA/omnibenchmark_vit_base_patch16_224_in21k_inflora_0_30_1994.log,69.06,79.54,Complete,Match
seed1994,1994,InfLoRA,VTAB,K10:L10,75.53,84.86,vtab|0_10_1994.log,T=5; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/InfLoRA/vtab_vit_base_patch16_224_in21k_inflora_0_10_1994.log,75.53,84.86,Complete,Match
seed1994,1994,EASE,CIFAR100,C11:D11,87.86,92.52,cifar224|0_10_1994.log,T=10; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/EASE/cifar224_vit_base_patch16_224_in21k_ease_0_10_1994.log,87.86,92.52,Complete,Match
seed1994,1994,EASE,CUB200,E11:F11,85.58,90.34,cub|0_20_1994.log,T=10; B0/Inc20 (filename _0_20_1994),logs/第二轮A800/EASE/cub_vit_base_patch16_224_in21k_ease_0_20_1994.log,85.58,90.34,Complete,Match
seed1994,1994,EASE,ImageNet-R,G11:H11,77.07,82.09,imagenetr/imagenet_r|0_40_1994.log,T=5; B0/Inc40 (filename _0_40_1994),logs/第二轮A800/EASE/imagenetr_vit_base_patch16_224_in21k_ease_0_40_1994.log,77.07,82.09,Complete,Match
seed1994,1994,EASE,OmniBenchmark,I11:J11,74.24,81.68,omnibenchmark|0_30_1994.log,T=10; B0/Inc30 (filename _0_30_1994),logs/第二轮A800/EASE/omnibenchmark_vit_base_patch16_224_in21k_ease_0_30_1994.log,74.24,81.68,Complete,Match
seed1994,1994,EASE,VTAB,K11:L11,79.84,85.66,vtab|0_10_1994.log,T=5; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/EASE/vtab_vit_base_patch16_224_in21k_ease_0_10_1994.log,79.84,85.66,Complete,Match
seed1994,1994,BiLoRA,CIFAR100,C12:D12,86.27,91.55,cifar224|0_10_1994.log,T=10; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/BiLoRA/cifar224_vit_base_patch16_224_in21k_bilora_0_10_1994.log,86.27,91.55,Complete,Match
seed1994,1994,BiLoRA,CUB200,E12:F12,74.17,84.09,cub|0_20_1994.log,T=10; B0/Inc20 (filename _0_20_1994),logs/第二轮A800/BiLoRA/cub_vit_base_patch16_224_in21k_bilora_0_20_1994.log,74.17,84.09,Complete,Match
seed1994,1994,BiLoRA,ImageNet-R,G12:H12,76.23,80.29,imagenetr/imagenet_r|0_40_1994.log,T=5; B0/Inc40 (filename _0_40_1994),logs/第二轮A800/BiLoRA/imagenet_r_vit_base_patch16_224_in21k_bilora_0_40_1994.log,76.23,80.29,Complete,Match
seed1994,1994,BiLoRA,OmniBenchmark,I12:J12,,,omnibenchmark|0_30_1994.log,T=10; B0/Inc30 (filename _0_30_1994),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1994,1994,BiLoRA,VTAB,K12:L12,,,vtab|0_10_1994.log,T=5; B0/Inc10 (filename _0_10_1994),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1994,1994,SD-LoRA,CIFAR100,C13:D13,87.43,91.15,cifar224|0_10_1994.log,T=10; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/SD-LoRA-IN21K/cifar224_vit_base_patch16_224_in21k_sdlora_0_10_1994.log,87.43,91.15,Complete,Match
seed1994,1994,SD-LoRA,CUB200,E13:F13,76.55,85.38,cub|0_20_1994.log,T=10; B0/Inc20 (filename _0_20_1994),logs/第二轮A800/SD-LoRA-IN21K/cub_vit_base_patch16_224_in21k_sdlora_0_20_1994.log,76.55,85.38,Complete,Match
seed1994,1994,SD-LoRA,ImageNet-R,G13:H13,76.75,81.32,imagenetr/imagenet_r|0_40_1994.log,T=5; B0/Inc40 (filename _0_40_1994),logs/第二轮A800/SD-LoRA-IN21K/imagenetr_vit_base_patch16_224_in21k_sdlora_0_40_1994.log,76.75,81.32,Complete,Match
seed1994,1994,SD-LoRA,OmniBenchmark,I13:J13,71.98,81.55,omnibenchmark|0_30_1994.log,T=10; B0/Inc30 (filename _0_30_1994),logs/第二轮A800/SD-LoRA-IN21K/omnibenchmark_vit_base_patch16_224_in21k_sdlora_0_30_1994.log,71.98,81.55,Complete,Match
seed1994,1994,SD-LoRA,VTAB,K13:L13,79.43,86.67,vtab|0_10_1994.log,T=5; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/SD-LoRA-IN21K/vtab_vit_base_patch16_224_in21k_sdlora_0_10_1994.log,79.43,86.67,Complete,Match
seed1994,1994,CL-LoRA,CIFAR100,C14:D14,88.15,92.96,cifar224|0_10_1994.log,T=10; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/CL-LoRA/cifar224_vit_base_patch16_224_in21k_cllora_0_10_1994.log,88.15,92.96,Complete,Match
seed1994,1994,CL-LoRA,CUB200,E14:F14,71.37,81.08,cub|0_20_1994.log,T=10; B0/Inc20 (filename _0_20_1994),logs/第二轮A800/CL-LoRA/cub_vit_base_patch16_224_in21k_cllora_0_20_1994.log,71.37,81.08,Complete,Match
seed1994,1994,CL-LoRA,ImageNet-R,G14:H14,81.9,85.79,imagenetr/imagenet_r|0_40_1994.log,T=5; B0/Inc40 (filename _0_40_1994),logs/第二轮A800/CL-LoRA/imagenetr_vit_base_patch16_224_cllora_0_40_1994.log,81.9,85.79,Complete,Match
seed1994,1994,CL-LoRA,OmniBenchmark,I14:J14,68.92,79.11,omnibenchmark|0_30_1994.log,T=10; B0/Inc30 (filename _0_30_1994),logs/第二轮A800/CL-LoRA/omnibenchmark_vit_base_patch16_224_in21k_cllora_0_30_1994.log,68.92,79.11,Complete,Match
seed1994,1994,CL-LoRA,VTAB,K14:L14,,,vtab|0_10_1994.log,T=5; B0/Inc10 (filename _0_10_1994),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1994,1994,iCaRL,CIFAR100,C17:D17,73.51,86.68,cifar224|0_10_1994.log,T=10; B0/Inc10 (filename _0_10_1994),logs/第二轮A800/iCaRL/cifar224_vit_base_patch16_224_in21k_0_10_1994.log,73.51,86.68,Complete,Match
seed1994,1994,iCaRL,CUB200,E17:F17,81,87.04,cub|0_20_1994.log,T=10; B0/Inc20 (filename _0_20_1994),logs/第二轮A800/iCaRL/cub_vit_base_patch16_224_in21k_0_20_1994.log,81.0,87.04,Complete,Match
seed1994,1994,iCaRL,ImageNet-R,G17:H17,,,imagenetr/imagenet_r|0_40_1994.log,T=5; B0/Inc40 (filename _0_40_1994),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1994,1994,iCaRL,OmniBenchmark,I17:J17,64.48,75.78,omnibenchmark|0_30_1994.log,T=10; B0/Inc30 (filename _0_30_1994),logs/第二轮A800/iCaRL/omnibenchmark_vit_base_patch16_224_in21k_0_30_1994.log,64.48,75.78,Complete,Match
seed1994,1994,iCaRL,VTAB,K17:L17,,,vtab|0_10_1994.log,T=5; B0/Inc10 (filename _0_10_1994),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1994,1994,FOSTER,CIFAR100,C18:D18,,,cifar224|0_10_1994.log,T=10; B0/Inc10 (filename _0_10_1994),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1994,1994,FOSTER,CUB200,E18:F18,,,cub|0_20_1994.log,T=10; B0/Inc20 (filename _0_20_1994),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1994,1994,FOSTER,ImageNet-R,G18:H18,,,imagenetr/imagenet_r|0_40_1994.log,T=5; B0/Inc40 (filename _0_40_1994),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1994,1994,FOSTER,OmniBenchmark,I18:J18,,,omnibenchmark|0_30_1994.log,T=10; B0/Inc30 (filename _0_30_1994),,,,No matching log in method directory,Log is incomplete; cannot verify
seed1994,1994,FOSTER,VTAB,K18:L18,,,vtab|0_10_1994.log,T=5; B0/Inc10 (filename _0_10_1994),,,,No matching log in method directory,Log is incomplete; cannot verify
ImageNet-R,not specified,InfLoRA,ImageNet-R T=5,C10:D10,77.55,82.83,imagenetr/imagenet_r_0_40_<seed>.log,T=5; B0/Inc40 (seed not specified by this sheet),logs/第二轮A800/InfLoRA/ImageNet_R_vit_base_patch16_224_in21k_inflora_0_40_1993.log ; logs/第二轮A800/InfLoRA/ImageNet_R_vit_base_patch16_224_in21k_inflora_0_40_1994.log ; logs/第二轮A800/InfLoRA/ImageNet_R_vit_base_patch16_224_in21k_inflora_0_40_42.log,78.22 ; 77.77 ; 78.3,83.33 ; 82.78 ; 82.54,Multiple candidates: Complete; Complete; Complete,Seed is not specified by this sheet; no unique mapping is possible
ImageNet-R,not specified,BiLoRA,ImageNet-R T=5,C12:D12,76.33,81.21,imagenetr/imagenet_r_0_40_<seed>.log,T=5; B0/Inc40 (seed not specified by this sheet),logs/第二轮A800/BiLoRA/imagenet_r_vit_base_patch16_224_in21k_bilora_0_40_1993.log ; logs/第二轮A800/BiLoRA/imagenet_r_vit_base_patch16_224_in21k_bilora_0_40_1994.log ; logs/第二轮A800/BiLoRA/imagenet_r_vit_base_patch16_224_in21k_bilora_0_40_42.log,76.23 ; 76.23 ; 76.33,81.22 ; 80.29 ; 79.49,Multiple candidates: Complete; Complete; Complete,Seed is not specified by this sheet; no unique mapping is possible
